spent,date,shown,link
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18435799912923791361?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 15 May 2024 (32 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18423819634227544065?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹15K – ₹20K,From 14 Apr - 24 May 2024 (30 days),Shown 125K – 150K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18333008769866268673?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18305424222148624385?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1K – ₹1.5K,From 14 Apr - 30 May 2024 (35 days),Shown 10K – 15K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18262640025688604673?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18238273748505460737?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18210042138194870273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 23 Apr - 18 May 2024 (26 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18136320433308303361?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (21 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18124805248030605313?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 15 Apr - 30 May 2024 (29 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18073787908501798913?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 30 May 2024 (35 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18053222643015876609?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 23 May 2024 (26 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR18001750655428984833?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 15 May 2024 (18 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17984862156826345473?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
